Emirate_Ar,Emirate_En,Category_Type_Ar,Category_Type_En,Measurement_unit_Ar,Measurement_unit_En,اسم المحطة,Station Name,نوع موقع المحطة ,Type of Location ,Year,Value
دبي,Dubai,تركيز ثاني أكسيد النيتروجين (NO2),Nitrogen Dioxide (NO2) Concentration,ميكروجرام/ متر مكعب,µg/Nm3,ديرة ,Deira,سكنية ,Residential,2006,47.763
دبي,Dubai,تركيز ثاني أكسيد النيتروجين (NO2),Nitrogen Dioxide (NO2) Concentration,ميكروجرام/ متر مكعب,µg/Nm3,الصفا ,Al Safa,سكنية ,Residential,2006,40.805
دبي,Dubai,تركيز ثاني أكسيد النيتروجين (NO2),Nitrogen Dioxide (NO2) Concentration,ميكروجرام/ متر مكعب,µg/Nm3,كرامة ,Karama,سكنية ,Residential,2006,46.635
دبي,Dubai,تركيز ثاني أكسيد النيتروجين (NO2),Nitrogen Dioxide (NO2) Concentration,ميكروجرام/ متر مكعب,µg/Nm3,قرية جبل علي ,J. Ali Village,سكنية ,Residential,2006,47.95131048387097
دبي,Dubai,تركيز ثاني أكسيد النيتروجين (NO2),Nitrogen Dioxide (NO2) Concentration,ميكروجرام/ متر مكعب,µg/Nm3,ميناء  جبل علي ,J. Ali Port,صناعية ,Industrial,2006,45.50673387096774
الفجيرة,Fujairah,تركيز ثاني أكسيد النيتروجين (NO2),Nitrogen Dioxide (NO2) Concentration,ميكروجرام/ متر مكعب,µg/Nm3,سكمكم,Sakamkam,عمرانية / سكنية,Urban/Residential,2006,15.043548387096775
الفجيرة,Fujairah,تركيز ثاني أكسيد النيتروجين (NO2),Nitrogen Dioxide (NO2) Concentration,ميكروجرام/ متر مكعب,µg/Nm3,المطار,Airport,صناعية,Industrial,2006,11.282661290322581
الفجيرة,Fujairah,تركيز ثاني أكسيد النيتروجين (NO2),Nitrogen Dioxide (NO2) Concentration,ميكروجرام/ متر مكعب,µg/Nm3,الميناء,Seaport,صناعية,Industrial,2006,16.92399193548387
الفجيرة,Fujairah,تركيز ثاني أكسيد النيتروجين (NO2),Nitrogen Dioxide (NO2) Concentration,ميكروجرام/ متر مكعب,µg/Nm3,مرباح,Murbah,عمرانية / سكنية,Urban/Residential,2006,16.92399193548387
الفجيرة,Fujairah,تركيز ثاني أكسيد النيتروجين (NO2),Nitrogen Dioxide (NO2) Concentration,ميكروجرام/ متر مكعب,µg/Nm3,دبا,Diba,عمرانية / سكنية,Urban/Residential,2006,22.565322580645162
دبي,Dubai,تركيز ثاني أكسيد النيتروجين (NO2),Nitrogen Dioxide (NO2) Concentration,ميكروجرام/ متر مكعب,µg/Nm3,ديرة ,Deira,سكنية ,Residential,2007,46.25891129032258
دبي,Dubai,تركيز ثاني أكسيد النيتروجين (NO2),Nitrogen Dioxide (NO2) Concentration,ميكروجرام/ متر مكعب,µg/Nm3,الصفا ,Al Safa,سكنية ,Residential,2007,51.71219758064516
دبي,Dubai,تركيز ثاني أكسيد النيتروجين (NO2),Nitrogen Dioxide (NO2) Concentration,ميكروجرام/ متر مكعب,µg/Nm3,كرامة ,Karama,سكنية ,Residential,2007,66.37965725806451
دبي,Dubai,تركيز ثاني أكسيد النيتروجين (NO2),Nitrogen Dioxide (NO2) Concentration,ميكروجرام/ متر مكعب,µg/Nm3,قرية جبل علي ,J. Ali Village,سكنية ,Residential,2007,75.02969758064516
دبي,Dubai,تركيز ثاني أكسيد النيتروجين (NO2),Nitrogen Dioxide (NO2) Concentration,ميكروجرام/ متر مكعب,µg/Nm3,ميناء  جبل علي ,J. Ali Port,صناعية ,Industrial,2007,56.225262096774195
الفجيرة,Fujairah,تركيز ثاني أكسيد النيتروجين (NO2),Nitrogen Dioxide (NO2) Concentration,ميكروجرام/ متر مكعب,µg/Nm3,سكمكم,Sakamkam,عمرانية / سكنية,Urban/Residential,2007,16.92399193548387
الفجيرة,Fujairah,تركيز ثاني أكسيد النيتروجين (NO2),Nitrogen Dioxide (NO2) Concentration,ميكروجرام/ متر مكعب,µg/Nm3,المطار,Airport,صناعية,Industrial,2007,18.804435483870968
الفجيرة,Fujairah,تركيز ثاني أكسيد النيتروجين (NO2),Nitrogen Dioxide (NO2) Concentration,ميكروجرام/ متر مكعب,µg/Nm3,الميناء,Seaport,صناعية,Industrial,2007,22.565322580645162
الفجيرة,Fujairah,تركيز ثاني أكسيد النيتروجين (NO2),Nitrogen Dioxide (NO2) Concentration,ميكروجرام/ متر مكعب,µg/Nm3,مرباح,Murbah,عمرانية / سكنية,Urban/Residential,2007,16.92399193548387
الفجيرة,Fujairah,تركيز ثاني أكسيد النيتروجين (NO2),Nitrogen Dioxide (NO2) Concentration,ميكروجرام/ متر مكعب,µg/Nm3,دبا,Diba,عمرانية / سكنية,Urban/Residential,2007,20.684879032258063
دبي,Dubai,تركيز ثاني أكسيد النيتروجين (NO2),Nitrogen Dioxide (NO2) Concentration,ميكروجرام/ متر مكعب,µg/Nm3,ديرة ,Deira,سكنية ,Residential,2008,26.702298387096775
دبي,Dubai,تركيز ثاني أكسيد النيتروجين (NO2),Nitrogen Dioxide (NO2) Concentration,ميكروجرام/ متر مكعب,µg/Nm3,الصفا ,Al Safa,سكنية ,Residential,2008,59.986149193548385
دبي,Dubai,تركيز ثاني أكسيد النيتروجين (NO2),Nitrogen Dioxide (NO2) Concentration,ميكروجرام/ متر مكعب,µg/Nm3,كرامة ,Karama,سكنية ,Residential,2008,-
دبي,Dubai,تركيز ثاني أكسيد النيتروجين (NO2),Nitrogen Dioxide (NO2) Concentration,ميكروجرام/ متر مكعب,µg/Nm3,قرية جبل علي ,J. Ali Village,سكنية ,Residential,2008,58.29375
دبي,Dubai,تركيز ثاني أكسيد النيتروجين (NO2),Nitrogen Dioxide (NO2) Concentration,ميكروجرام/ متر مكعب,µg/Nm3,ميناء  جبل علي ,J. Ali Port,صناعية ,Industrial,2008,65.8155241935484
عجمان ,Ajman,تركيز ثاني أكسيد النيتروجين (NO2),Nitrogen Dioxide (NO2) Concentration,ميكروجرام/ متر مكعب,µg/Nm3,---,---,---,---,2008,65.8155241935484
رأس الخيمة ,Ras Al-Khaimah ,تركيز ثاني أكسيد النيتروجين (NO2),Nitrogen Dioxide (NO2) Concentration,ميكروجرام/ متر مكعب,µg/Nm3,القاسمية,Al Qasimih,عمرانية / سكنية,Urban/Residential,2008,52.65241935483871
رأس الخيمة ,Ras Al-Khaimah ,تركيز ثاني أكسيد النيتروجين (NO2),Nitrogen Dioxide (NO2) Concentration,ميكروجرام/ متر مكعب,µg/Nm3,الجير,Al  Jeer,عمرانية / سكنية,Urban/Residential,2008,20.684879032258063
رأس الخيمة ,Ras Al-Khaimah ,تركيز ثاني أكسيد النيتروجين (NO2),Nitrogen Dioxide (NO2) Concentration,ميكروجرام/ متر مكعب,µg/Nm3,البريرات,Burairat,عمرانية / سكنية,Urban/Residential,2008,…
الفجيرة,Fujairah,تركيز ثاني أكسيد النيتروجين (NO2),Nitrogen Dioxide (NO2) Concentration,ميكروجرام/ متر مكعب,µg/Nm3,سكمكم,Sakamkam,عمرانية / سكنية,Urban/Residential,2008,13.163104838709678
الفجيرة,Fujairah,تركيز ثاني أكسيد النيتروجين (NO2),Nitrogen Dioxide (NO2) Concentration,ميكروجرام/ متر مكعب,µg/Nm3,المطار,Airport,صناعية,Industrial,2008,18.804435483870968
الفجيرة,Fujairah,تركيز ثاني أكسيد النيتروجين (NO2),Nitrogen Dioxide (NO2) Concentration,ميكروجرام/ متر مكعب,µg/Nm3,الميناء,Seaport,صناعية,Industrial,2008,9.402217741935484
الفجيرة,Fujairah,تركيز ثاني أكسيد النيتروجين (NO2),Nitrogen Dioxide (NO2) Concentration,ميكروجرام/ متر مكعب,µg/Nm3,مرباح,Murbah,عمرانية / سكنية,Urban/Residential,2008,13.163104838709678
الفجيرة,Fujairah,تركيز ثاني أكسيد النيتروجين (NO2),Nitrogen Dioxide (NO2) Concentration,ميكروجرام/ متر مكعب,µg/Nm3,دبا,Diba,عمرانية / سكنية,Urban/Residential,2008,3.760887096774194
دبي,Dubai,تركيز ثاني أكسيد النيتروجين (NO2),Nitrogen Dioxide (NO2) Concentration,ميكروجرام/ متر مكعب,µg/Nm3,ديرة ,Deira,سكنية ,Residential,2009,-
دبي,Dubai,تركيز ثاني أكسيد النيتروجين (NO2),Nitrogen Dioxide (NO2) Concentration,ميكروجرام/ متر مكعب,µg/Nm3,الصفا ,Al Safa,سكنية ,Residential,2009,40.24149193548387
دبي,Dubai,تركيز ثاني أكسيد النيتروجين (NO2),Nitrogen Dioxide (NO2) Concentration,ميكروجرام/ متر مكعب,µg/Nm3,كرامة ,Karama,سكنية ,Residential,2009,-
دبي,Dubai,تركيز ثاني أكسيد النيتروجين (NO2),Nitrogen Dioxide (NO2) Concentration,ميكروجرام/ متر مكعب,µg/Nm3,قرية جبل علي ,J. Ali Village,سكنية ,Residential,2009,-
دبي,Dubai,تركيز ثاني أكسيد النيتروجين (NO2),Nitrogen Dioxide (NO2) Concentration,ميكروجرام/ متر مكعب,µg/Nm3,ميناء  جبل علي ,J. Ali Port,صناعية ,Industrial,2009,44.37846774193549
عجمان ,Ajman,تركيز ثاني أكسيد النيتروجين (NO2),Nitrogen Dioxide (NO2) Concentration,ميكروجرام/ متر مكعب,µg/Nm3,---,---,---,---,2009,80.85907258064516
رأس الخيمة ,Ras Al-Khaimah ,تركيز ثاني أكسيد النيتروجين (NO2),Nitrogen Dioxide (NO2) Concentration,ميكروجرام/ متر مكعب,µg/Nm3,القاسمية,Al Qasimih,عمرانية / سكنية,Urban/Residential,2009,63.9350806451613
رأس الخيمة ,Ras Al-Khaimah ,تركيز ثاني أكسيد النيتروجين (NO2),Nitrogen Dioxide (NO2) Concentration,ميكروجرام/ متر مكعب,µg/Nm3,الجير,Al  Jeer,عمرانية / سكنية,Urban/Residential,2009,28.206653225806452
رأس الخيمة ,Ras Al-Khaimah ,تركيز ثاني أكسيد النيتروجين (NO2),Nitrogen Dioxide (NO2) Concentration,ميكروجرام/ متر مكعب,µg/Nm3,البريرات,Burairat,عمرانية / سكنية,Urban/Residential,2009,43.250201612903226
الفجيرة,Fujairah,تركيز ثاني أكسيد النيتروجين (NO2),Nitrogen Dioxide (NO2) Concentration,ميكروجرام/ متر مكعب,µg/Nm3,سكمكم,Sakamkam,عمرانية / سكنية,Urban/Residential,2009,…
الفجيرة,Fujairah,تركيز ثاني أكسيد النيتروجين (NO2),Nitrogen Dioxide (NO2) Concentration,ميكروجرام/ متر مكعب,µg/Nm3,المطار,Airport,صناعية,Industrial,2009,…
الفجيرة,Fujairah,تركيز ثاني أكسيد النيتروجين (NO2),Nitrogen Dioxide (NO2) Concentration,ميكروجرام/ متر مكعب,µg/Nm3,الميناء,Seaport,صناعية,Industrial,2009,43.250201612903226
الفجيرة,Fujairah,تركيز ثاني أكسيد النيتروجين (NO2),Nitrogen Dioxide (NO2) Concentration,ميكروجرام/ متر مكعب,µg/Nm3,مرباح,Murbah,عمرانية / سكنية,Urban/Residential,2009,…
الفجيرة,Fujairah,تركيز ثاني أكسيد النيتروجين (NO2),Nitrogen Dioxide (NO2) Concentration,ميكروجرام/ متر مكعب,µg/Nm3,دبا,Diba,عمرانية / سكنية,Urban/Residential,2009,…
دبي,Dubai,تركيز ثاني أكسيد النيتروجين (NO2),Nitrogen Dioxide (NO2) Concentration,ميكروجرام/ متر مكعب,µg/Nm3,ديرة ,Deira,سكنية ,Residential,2010,38.9251814516129
دبي,Dubai,تركيز ثاني أكسيد النيتروجين (NO2),Nitrogen Dioxide (NO2) Concentration,ميكروجرام/ متر مكعب,µg/Nm3,الصفا ,Al Safa,سكنية ,Residential,2010,49.83175403225806
دبي,Dubai,تركيز ثاني أكسيد النيتروجين (NO2),Nitrogen Dioxide (NO2) Concentration,ميكروجرام/ متر مكعب,µg/Nm3,كرامة ,Karama,سكنية ,Residential,2010,-
دبي,Dubai,تركيز ثاني أكسيد النيتروجين (NO2),Nitrogen Dioxide (NO2) Concentration,ميكروجرام/ متر مكعب,µg/Nm3,قرية جبل علي ,J. Ali Village,سكنية ,Residential,2010,-
دبي,Dubai,تركيز ثاني أكسيد النيتروجين (NO2),Nitrogen Dioxide (NO2) Concentration,ميكروجرام/ متر مكعب,µg/Nm3,ميناء  جبل علي ,J. Ali Port,صناعية ,Industrial,2010,32.155584677419355
عجمان ,Ajman,تركيز ثاني أكسيد النيتروجين (NO2),Nitrogen Dioxide (NO2) Concentration,ميكروجرام/ متر مكعب,µg/Nm3,---,---,---,---,2010,60.1741935483871
رأس الخيمة ,Ras Al-Khaimah ,تركيز ثاني أكسيد النيتروجين (NO2),Nitrogen Dioxide (NO2) Concentration,ميكروجرام/ متر مكعب,µg/Nm3,القاسمية,Al Qasimih,عمرانية / سكنية,Urban/Residential,2010,39.489314516129035
رأس الخيمة ,Ras Al-Khaimah ,تركيز ثاني أكسيد النيتروجين (NO2),Nitrogen Dioxide (NO2) Concentration,ميكروجرام/ متر مكعب,µg/Nm3,الجير,Al  Jeer,عمرانية / سكنية,Urban/Residential,2010,30.08709677419355
رأس الخيمة ,Ras Al-Khaimah ,تركيز ثاني أكسيد النيتروجين (NO2),Nitrogen Dioxide (NO2) Concentration,ميكروجرام/ متر مكعب,µg/Nm3,البريرات,Burairat,عمرانية / سكنية,Urban/Residential,2010,31.96754032258065
الفجيرة,Fujairah,تركيز ثاني أكسيد النيتروجين (NO2),Nitrogen Dioxide (NO2) Concentration,ميكروجرام/ متر مكعب,µg/Nm3,سكمكم,Sakamkam,عمرانية / سكنية,Urban/Residential,2010,…
الفجيرة,Fujairah,تركيز ثاني أكسيد النيتروجين (NO2),Nitrogen Dioxide (NO2) Concentration,ميكروجرام/ متر مكعب,µg/Nm3,المطار,Airport,صناعية,Industrial,2010,…
الفجيرة,Fujairah,تركيز ثاني أكسيد النيتروجين (NO2),Nitrogen Dioxide (NO2) Concentration,ميكروجرام/ متر مكعب,µg/Nm3,الميناء,Seaport,صناعية,Industrial,2010,16.92399193548387
الفجيرة,Fujairah,تركيز ثاني أكسيد النيتروجين (NO2),Nitrogen Dioxide (NO2) Concentration,ميكروجرام/ متر مكعب,µg/Nm3,مرباح,Murbah,عمرانية / سكنية,Urban/Residential,2010,…
الفجيرة,Fujairah,تركيز ثاني أكسيد النيتروجين (NO2),Nitrogen Dioxide (NO2) Concentration,ميكروجرام/ متر مكعب,µg/Nm3,دبا,Diba,عمرانية / سكنية,Urban/Residential,2010,3.760887096774194
دبي,Dubai,تركيز ثاني أكسيد النيتروجين (NO2),Nitrogen Dioxide (NO2) Concentration,ميكروجرام/ متر مكعب,µg/Nm3,ديرة ,Deira,سكنية ,Residential,2011,-
دبي,Dubai,تركيز ثاني أكسيد النيتروجين (NO2),Nitrogen Dioxide (NO2) Concentration,ميكروجرام/ متر مكعب,µg/Nm3,الصفا ,Al Safa,سكنية ,Residential,2011,-
دبي,Dubai,تركيز ثاني أكسيد النيتروجين (NO2),Nitrogen Dioxide (NO2) Concentration,ميكروجرام/ متر مكعب,µg/Nm3,كرامة ,Karama,سكنية ,Residential,2011,-
دبي,Dubai,تركيز ثاني أكسيد النيتروجين (NO2),Nitrogen Dioxide (NO2) Concentration,ميكروجرام/ متر مكعب,µg/Nm3,قرية جبل علي ,J. Ali Village,سكنية ,Residential,2011,-
دبي,Dubai,تركيز ثاني أكسيد النيتروجين (NO2),Nitrogen Dioxide (NO2) Concentration,ميكروجرام/ متر مكعب,µg/Nm3,ميناء  جبل علي ,J. Ali Port,صناعية ,Industrial,2011,33.47189516129032
الفجيرة,Fujairah,تركيز ثاني أكسيد النيتروجين (NO2),Nitrogen Dioxide (NO2) Concentration,ميكروجرام/ متر مكعب,µg/Nm3,سكمكم,Sakamkam,عمرانية / سكنية,Urban/Residential,2011,5.641330645161291
الفجيرة,Fujairah,تركيز ثاني أكسيد النيتروجين (NO2),Nitrogen Dioxide (NO2) Concentration,ميكروجرام/ متر مكعب,µg/Nm3,المطار,Airport,صناعية,Industrial,2011,….
الفجيرة,Fujairah,تركيز ثاني أكسيد النيتروجين (NO2),Nitrogen Dioxide (NO2) Concentration,ميكروجرام/ متر مكعب,µg/Nm3,الميناء,Seaport,صناعية,Industrial,2011,1.880443548387097
الفجيرة,Fujairah,تركيز ثاني أكسيد النيتروجين (NO2),Nitrogen Dioxide (NO2) Concentration,ميكروجرام/ متر مكعب,µg/Nm3,مرباح,Murbah,عمرانية / سكنية,Urban/Residential,2011,5.641330645161291
الفجيرة,Fujairah,تركيز ثاني أكسيد النيتروجين (NO2),Nitrogen Dioxide (NO2) Concentration,ميكروجرام/ متر مكعب,µg/Nm3,دبا,Diba,عمرانية / سكنية,Urban/Residential,2011,3.760887096774194
دبي,Dubai,تركيز ثاني أكسيد النيتروجين (NO2),Nitrogen Dioxide (NO2) Concentration,ميكروجرام/ متر مكعب,µg/Nm3,ديرة ,Deira,سكنية ,Residential,2012,-
دبي,Dubai,تركيز ثاني أكسيد النيتروجين (NO2),Nitrogen Dioxide (NO2) Concentration,ميكروجرام/ متر مكعب,µg/Nm3,الصفا ,Al Safa,سكنية ,Residential,2012,-
دبي,Dubai,تركيز ثاني أكسيد النيتروجين (NO2),Nitrogen Dioxide (NO2) Concentration,ميكروجرام/ متر مكعب,µg/Nm3,كرامة ,Karama,سكنية ,Residential,2012,-
دبي,Dubai,تركيز ثاني أكسيد النيتروجين (NO2),Nitrogen Dioxide (NO2) Concentration,ميكروجرام/ متر مكعب,µg/Nm3,قرية جبل علي ,J. Ali Village,سكنية ,Residential,2012,-
دبي,Dubai,تركيز ثاني أكسيد النيتروجين (NO2),Nitrogen Dioxide (NO2) Concentration,ميكروجرام/ متر مكعب,µg/Nm3,ميناء  جبل علي ,J. Ali Port,صناعية ,Industrial,2012,157.95725806451614
أبوظبي,Abu Dhabi  ,تركيز ثاني أكسيد النيتروجين (NO2),Nitrogen Dioxide (NO2) Concentration,ميكروجرام/ متر مكعب,µg/Nm3,شارع حمدان,Hamdan Street,جانب الطريق, Road Side,2007,41.8
أبوظبي,Abu Dhabi  ,تركيز ثاني أكسيد النيتروجين (NO2),Nitrogen Dioxide (NO2) Concentration,ميكروجرام/ متر مكعب,µg/Nm3,مدرسة خديجة ,Khadiejah   School,وسط المدينة,City Centre,2007,46.3
أبوظبي,Abu Dhabi  ,تركيز ثاني أكسيد النيتروجين (NO2),Nitrogen Dioxide (NO2) Concentration,ميكروجرام/ متر مكعب,µg/Nm3,مدرسة خليفة,Khalifah School,حضرية / سكنية,Urban/Residential,2007,31.1
أبوظبي,Abu Dhabi  ,تركيز ثاني أكسيد النيتروجين (NO2),Nitrogen Dioxide (NO2) Concentration,ميكروجرام/ متر مكعب,µg/Nm3,بني ياس,Bani Yas,حضرية / سكنية,Urban/Residential,2007,19
أبوظبي,Abu Dhabi  ,تركيز ثاني أكسيد النيتروجين (NO2),Nitrogen Dioxide (NO2) Concentration,ميكروجرام/ متر مكعب,µg/Nm3,مصفح,Mussafah,صناعية,Industrial,2007,39.5
أبوظبي,Abu Dhabi  ,تركيز ثاني أكسيد النيتروجين (NO2),Nitrogen Dioxide (NO2) Concentration,ميكروجرام/ متر مكعب,µg/Nm3,مدرسة العين ,Al - Ain School,حضرية / سكنية,Urban/Residential,2007,48.7
أبوظبي,Abu Dhabi  ,تركيز ثاني أكسيد النيتروجين (NO2),Nitrogen Dioxide (NO2) Concentration,ميكروجرام/ متر مكعب,µg/Nm3,شارع العين,Al - Ain Street,جانب الطريق, Road Side,2007,35.3
أبوظبي,Abu Dhabi  ,تركيز ثاني أكسيد النيتروجين (NO2),Nitrogen Dioxide (NO2) Concentration,ميكروجرام/ متر مكعب,µg/Nm3,بدع زايد,Bida Zayed,حضرية / سكنية,Urban/Residential,2007,14
أبوظبي,Abu Dhabi  ,تركيز ثاني أكسيد النيتروجين (NO2),Nitrogen Dioxide (NO2) Concentration,ميكروجرام/ متر مكعب,µg/Nm3, مدرسة غياثي,Gayathi School,وسط المدينة,City Centre,2007,10.4
أبوظبي,Abu Dhabi  ,تركيز ثاني أكسيد النيتروجين (NO2),Nitrogen Dioxide (NO2) Concentration,ميكروجرام/ متر مكعب,µg/Nm3, واحة ليوا,Liwa Oasis,نائية,Remote Area,2007,2.7
أبوظبي,Abu Dhabi  ,تركيز ثاني أكسيد النيتروجين (NO2),Nitrogen Dioxide (NO2) Concentration,ميكروجرام/ متر مكعب,µg/Nm3,شارع حمدان,Hamdan Street,جانب الطريق, Road Side,2008,21.2
أبوظبي,Abu Dhabi  ,تركيز ثاني أكسيد النيتروجين (NO2),Nitrogen Dioxide (NO2) Concentration,ميكروجرام/ متر مكعب,µg/Nm3,مدرسة خديجة ,Khadiejah   School,وسط المدينة,City Centre,2008,45.6
أبوظبي,Abu Dhabi  ,تركيز ثاني أكسيد النيتروجين (NO2),Nitrogen Dioxide (NO2) Concentration,ميكروجرام/ متر مكعب,µg/Nm3,مدرسة خليفة,Khalifah School,حضرية / سكنية,Urban/Residential,2008,42.4
أبوظبي,Abu Dhabi  ,تركيز ثاني أكسيد النيتروجين (NO2),Nitrogen Dioxide (NO2) Concentration,ميكروجرام/ متر مكعب,µg/Nm3,بني ياس,Bani Yas,حضرية / سكنية,Urban/Residential,2008,24.4
أبوظبي,Abu Dhabi  ,تركيز ثاني أكسيد النيتروجين (NO2),Nitrogen Dioxide (NO2) Concentration,ميكروجرام/ متر مكعب,µg/Nm3,مصفح,Mussafah,صناعية,Industrial,2008,46.1
أبوظبي,Abu Dhabi  ,تركيز ثاني أكسيد النيتروجين (NO2),Nitrogen Dioxide (NO2) Concentration,ميكروجرام/ متر مكعب,µg/Nm3,مدرسة العين ,Al - Ain School,حضرية / سكنية,Urban/Residential,2008,53.8
أبوظبي,Abu Dhabi  ,تركيز ثاني أكسيد النيتروجين (NO2),Nitrogen Dioxide (NO2) Concentration,ميكروجرام/ متر مكعب,µg/Nm3,شارع العين,Al - Ain Street,جانب الطريق, Road Side,2008,26.3
أبوظبي,Abu Dhabi  ,تركيز ثاني أكسيد النيتروجين (NO2),Nitrogen Dioxide (NO2) Concentration,ميكروجرام/ متر مكعب,µg/Nm3,بدع زايد,Bida Zayed,حضرية / سكنية,Urban/Residential,2008, …
أبوظبي,Abu Dhabi  ,تركيز ثاني أكسيد النيتروجين (NO2),Nitrogen Dioxide (NO2) Concentration,ميكروجرام/ متر مكعب,µg/Nm3, مدرسة غياثي,Gayathi School,وسط المدينة,City Centre,2008,13.2
أبوظبي,Abu Dhabi  ,تركيز ثاني أكسيد النيتروجين (NO2),Nitrogen Dioxide (NO2) Concentration,ميكروجرام/ متر مكعب,µg/Nm3, واحة ليوا,Liwa Oasis,نائية,Remote Area,2008,2.1
أبوظبي,Abu Dhabi  ,تركيز ثاني أكسيد النيتروجين (NO2),Nitrogen Dioxide (NO2) Concentration,ميكروجرام/ متر مكعب,µg/Nm3,شارع حمدان,Hamdan Street,جانب الطريق, Road Side,2009,49
أبوظبي,Abu Dhabi  ,تركيز ثاني أكسيد النيتروجين (NO2),Nitrogen Dioxide (NO2) Concentration,ميكروجرام/ متر مكعب,µg/Nm3,مدرسة خديجة ,Khadiejah   School,وسط المدينة,City Centre,2009,36
