year,Emirates_en,Emirates_ar,InstitutionSector_en,InstitutionSector_ar,EducationInstitution_en,EducationInstitution_ar,value
2017/2016,AbuDhabi,أبوظبي,Government,حكومي,University,جامعة,2
2017/2016,AbuDhabi,أبوظبي,Government,حكومي,College,كلية,1
2017/2016,AbuDhabi,أبوظبي,Private,خاص,University,جامعة,7
2017/2016,AbuDhabi,أبوظبي,Private,خاص,College,كلية,13
2017/2016,AbuDhabi,أبوظبي,Private,خاص,Institute,معهد,9
2017/2016,Dubai,دبي,Government,حكومي,University,جامعة,1
2017/2016,Dubai,دبي,Government,حكومي,College,كلية,1
2017/2016,Dubai,دبي,Private,خاص,University,جامعة,13
2017/2016,Dubai,دبي,Private,خاص,College,كلية,18
2017/2016,Dubai,دبي,Private,خاص,Institute,معهد,3
2017/2016,Sharjah,الشارقة,Government,حكومي,University,جامعة,0
2017/2016,Sharjah,الشارقة,Government,حكومي,College,كلية,1
2017/2016,Sharjah,الشارقة,Private,خاص,University,جامعة,4
2017/2016,Sharjah,الشارقة,Private,خاص,College,كلية,2
2017/2016,Sharjah,الشارقة,Private,خاص,Institute,معهد,1
2017/2016,Ajman,عجمان,Government,حكومي,University,جامعة,0
2017/2016,Ajman,عجمان,Government,حكومي,College,كلية,0
2017/2016,Ajman,عجمان,Private,خاص,University,جامعة,2
2017/2016,Ajman,عجمان,Private,خاص,College,كلية,2
2017/2016,Ajman,عجمان,Private,خاص,Institute,معهد,0
2017/2016,Ajman,عجمان,Government,حكومي,University,جامعة,0
2017/2016,Ajman,عجمان,Government,حكومي,College,كلية,0
2017/2016,Ajman,عجمان,Private,خاص,University,جامعة,0
2017/2016,Ajman,عجمان,Private,خاص,College,كلية,1
2017/2016,Ajman,عجمان,Private,خاص,Institute,معهد,0
2017/2016,UmmAl-Quwain,امالقيوين,Government,حكومي,University,جامعة,0
2017/2016,UmmAl-Quwain,امالقيوين,Government,حكومي,College,كلية,1
2017/2016,UmmAl-Quwain,امالقيوين,Private,خاص,University,جامعة,2
2017/2016,UmmAl-Quwain,امالقيوين,Private,خاص,College,كلية,0
2017/2016,UmmAl-Quwain,امالقيوين,Private,خاص,Institute,معهد,0
2017/2016,RasAl-Khaimah,رأسالخيمة,Government,حكومي,University,جامعة,0
2017/2016,RasAl-Khaimah,رأسالخيمة,Government,حكومي,College,كلية,1
2017/2016,RasAl-Khaimah,رأسالخيمة,Private,خاص,University,جامعة,2
2017/2016,RasAl-Khaimah,رأسالخيمة,Private,خاص,College,كلية,0
2017/2016,RasAl-Khaimah,رأسالخيمة,Private,خاص,Institute,معهد,0
2017/2016,Fujeirah,الفجيرة,Government,حكومي,University,جامعة,0
2017/2016,Fujeirah,الفجيرة,Government,حكومي,College,كلية,1
2017/2016,Fujeirah,الفجيرة,Private,خاص,University,جامعة,1
2017/2016,Fujeirah,الفجيرة,Private,خاص,College,كلية,1
2017/2016,Fujeirah,الفجيرة,Private,خاص,Institute,معهد,0